,,Susp,,Conf,Harmean
Neuron #:27,Susp of > 0,0.486890298,Conf of > 0,0.540528414,0.512309222
Neuron #:46,Susp of = 0,0.486231749,Conf of = 0,0.891935734,0.629368313
Neuron #:40,Susp of = 0,0.485626016,Conf of = 0,0.632526274,0.549426437
Neuron #:13,Susp of = 0,0.485591049,Conf of = 0,0.778642553,0.598151882
Neuron #:108,Susp of = 0,0.483961969,Conf of = 0,0.485616166,0.484787657
Neuron #:26,Susp of = 0,0.483728135,Conf of = 0,0.47203479,0.477809931
Neuron #:122,Susp of > 0,0.4826722,Conf of > 0,0.248502942,0.32808955
Neuron #:78,Susp of = 0,0.480731119,Conf of = 0,0.401970766,0.43783719
Neuron #:1,Susp of > 0,0.478707941,Conf of > 0,0.17503926,0.256345828
Neuron #:85,Susp of = 0,0.478468883,Conf of = 0,0.083887,0.142747041
Neuron #:76,Susp of > 0,0.477567798,Conf of > 0,0.438003693,0.456930914
Neuron #:48,Susp of > 0,0.477380139,Conf of > 0,0.294355187,0.36416454
Neuron #:116,Susp of = 0,0.477251662,Conf of = 0,0.688249607,0.563651499
Neuron #:7,Susp of = 0,0.47659531,Conf of = 0,0.235370252,0.315117372
Neuron #:5,Susp of = 0,0.47351979,Conf of = 0,0.522615493,0.496857772
Neuron #:33,Susp of = 0,0.472463095,Conf of = 0,0.450325297,0.461128652
Neuron #:65,Susp of = 0,0.471649044,Conf of = 0,0.661328455,0.550610994
Neuron #:118,Susp of > 0,0.471509866,Conf of > 0,0.440040037,0.455231728
Neuron #:49,Susp of = 0,0.470816044,Conf of = 0,0.57868397,0.519206658
Neuron #:52,Susp of = 0,0.469438928,Conf of = 0,0.492708855,0.480792495
Neuron #:28,Susp of > 0,0.468919935,Conf of > 0,0.335409944,0.391084338
Neuron #:113,Susp of = 0,0.467284452,Conf of = 0,0.299860217,0.36530272
Neuron #:8,Susp of = 0,0.464279771,Conf of = 0,0.175919375,0.255157501
Neuron #:51,Susp of = 0,0.46183458,Conf of = 0,0.451239926,0.456475787
Neuron #:23,Susp of = 0,0.461009101,Conf of = 0,0.004555887,0.009022609
Neuron #:55,Susp of > 0,0.460044923,Conf of > 0,0.516817091,0.486781297
Neuron #:57,Susp of = 0,0.459585467,Conf of = 0,0.265760091,0.336775966
Neuron #:126,Susp of = 0,0.459128407,Conf of = 0,0.180751376,0.259386509
Neuron #:96,Susp of = 0,0.459044433,Conf of = 0,0.405249625,0.430472899
Neuron #:79,Susp of > 0,0.457265785,Conf of > 0,0.23876991,0.313723308
Neuron #:14,Susp of > 0,0.457211056,Conf of > 0,0.235352995,0.310746685
Neuron #:84,Susp of > 0,0.454083461,Conf of > 0,0.247709114,0.320552299
Neuron #:124,Susp of = 0,0.453268021,Conf of = 0,0.450635926,0.451948141
Neuron #:86,Susp of = 0,0.449948886,Conf of = 0,0.477557078,0.463342089
Neuron #:45,Susp of = 0,0.448859012,Conf of = 0,0.425837403,0.437045249
Neuron #:99,Susp of > 0,0.447237679,Conf of > 0,0.46174953,0.454377764
Neuron #:34,Susp of = 0,0.443129563,Conf of = 0,0.299325245,0.357300845
Neuron #:106,Susp of = 0,0.430238851,Conf of = 0,0.42573386,0.427974501
Neuron #:44,Susp of = 0,0.430160148,Conf of = 0,0.546533902,0.481414019
Neuron #:89,Susp of = 0,0.426639191,Conf of = 0,0.21274613,0.283915923
Neuron #:105,Susp of = 0,0.423462709,Conf of = 0,0.181044748,0.253646828
Neuron #:18,Susp of = 0,0.422146678,Conf of = 0,0.029337153,0.054861684
Neuron #:54,Susp of = 0,0.421565903,Conf of = 0,0.201839612,0.272980255
Neuron #:61,Susp of > 0,0.405376268,Conf of > 0,0.23435208,0.297003476
Neuron #:123,Susp of = 0,0.394567311,Conf of = 0,0.106131465,0.167270258
Neuron #:93,Susp of = 0,0.390929094,Conf of = 0,0.093343918,0.150703642
Neuron #:117,Susp of = 0,0.383713461,Conf of = 0,0.046939445,0.083646466
Neuron #:100,Susp of = 0,0.348179109,Conf of = 0,0.062919564,0.106579171
Neuron #:43,Susp of = 0,0.302536076,Conf of = 0,0.142613077,0.193847839
Neuron #:39,Susp of = 0,0.295702563,Conf of = 0,0.13805719,0.188232609
