Neuron,Tarantula Susp,,Tarantula Conf,,Susp Rank,Conf RAnk,Sum of Ranks
Neuron #:92,Susp of > 0,0.428176996,Conf of > 0,0.801289666,181,62,243
Neuron #:22,Susp of > 0,0.454835473,Conf of > 0,0.719158323,165,79,244
Neuron #:21,Susp of > 0,0.510304815,Conf of > 0,0.066666667,106,138,244
Neuron #:88,Susp of > 0,0.385458309,Conf of > 0,0.903444765,203,42,245
Neuron #:9,Susp of = 0,0.452449199,Conf of = 0,0.726115731,168,77,245
Neuron #:126,Susp of = 0,0.328559709,Conf of = 0,0.95367385,220,26,246
Neuron #:5,Susp of > 0,0.367210867,Conf of > 0,0.919056508,208,38,246
Neuron #:93,Susp of > 0,0.489884601,Conf of > 0,0.381808926,129,117,246
Neuron #:77,Susp of > 0,0.490218024,Conf of > 0,0.381299847,128,118,246
Neuron #:53,Susp of = 0,0.347813256,Conf of = 0,0.937553029,215,32,247
Neuron #:66,Susp of = 0,0.42018824,Conf of = 0,0.827931444,190,57,247
Neuron #:23,Susp of > 0,0.473751909,Conf of > 0,0.555404717,147,100,247
Neuron #:106,Susp of > 0,0.493151831,Conf of > 0,0.308331919,125,123,248
Neuron #:20,Susp of = 0,0.431143781,Conf of = 0,0.747666723,178,73,251
Neuron #:46,Susp of > 0,0.355878978,Conf of > 0,0.904972001,213,41,254
Neuron #:40,Susp of = 0,0.409418409,Conf of = 0,0.817410487,195,59,254
Neuron #:16,Susp of > 0,0.417506074,Conf of > 0,0.790599016,191,66,257
Neuron #:54,Susp of = 0,0.424350117,Conf of = 0,0.768708637,189,68,257
Neuron #:7,Susp of > 0,0.456149857,Conf of > 0,0.596131003,161,96,257
Neuron #:8,Susp of = 0,0.34064709,Conf of = 0,0.903275072,216,43,259
Neuron #:14,Susp of = 0,0.431606991,Conf of = 0,0.702358731,177,83,260
Neuron #:109,Susp of > 0,0.486602535,Conf of > 0,0.281350755,134,126,260
Neuron #:2,Susp of = 0,0.282129847,Conf of = 0,0.932971322,228,35,263
Neuron #:47,Susp of = 0,0.357845519,Conf of = 0,0.837434244,211,52,263
Neuron #:64,Susp of > 0,0.30620145,Conf of > 0,0.906329544,224,40,264
Neuron #:11,Susp of = 0,0.358171762,Conf of = 0,0.836246394,210,54,264
Neuron #:117,Susp of = 0,0.4265113,Conf of = 0,0.717122009,184,80,264
Neuron #:74,Susp of > 0,0.38549094,Conf of > 0,0.797047344,202,64,266
Neuron #:112,Susp of = 0,0.464412369,Conf of = 0,0.499745461,158,109,267
